cloud,visibility_km,visibility_miles,air_quality
25,10,6,12.4
0,10,6,14.8
50,10,6,15.1
75,10,6,10.8
0,7,4,15.5
75,10,6,1.9
75,10,6,11.8
88,10,6,0.7
0,10,6,36
10,10,6,10.1
16,10,6,15.7
0,10,6,7.7
0,8,4,12.5
8,10,6,21.8
75,8,4,5.4
0,10,6,6.7
0,10,6,20.6
60,0.2,0,6
0,10,6,3.5
75,10,6,4.6
7,10,6,2.7
25,9,5,190.3
92,10,6,1.3
25,10,6,23
0,10,6,4.6
77,10,6,0.5
6,10,6,32.7
75,10,6,6.3
75,13,8,9.2
100,24,14,0.5
48,10,6,0.5
0,10,6,5.1
25,10,6,11.6
0,10,6,8
50,5,3,0.9
0,10,6,9.8
56,10,6,4.2
0,10,6,7.5
50,10,6,6.7
75,7,4,52.8
0,10,6,6.2
0,10,6,2
50,9,5,1.5
25,8,4,7.1
75,10,6,3.5
36,10,6,47.8
0,10,6,15.2
75,10,6,3.5
0,10,6,26.3
12,10,6,72.6
75,21,13,3.1
19,10,6,1
50,10,6,2.7
18,10,6,2.9
16,10,6,1.2
29,10,6,9.8
100,8,4,4.2
0,10,6,12.5
25,10,6,6.4
0,10,6,79
0,10,6,16.2
0,10,6,6.5
25,10,6,22.4
25,10,6,5.2
50,10,6,6.2
72,10,6,4.3
50,10,6,4.2
0,10,6,9
0,8,4,17.7
0,10,6,18.6
25,10,6,5
0,10,6,12.6
50,10,6,2.3
50,10,6,1.5
75,10,6,15.9
0,10,6,12.8
0,10,6,17.2
4,10,6,2.1
53,10,6,3.4
0,10,6,13.1
100,9,5,65.2
14,10,6,3.2
75,8,4,2.1
75,10,6,2
50,9,5,17.4
0,10,6,2.1
0,10,6,0.5
0,10,6,13.5
0,10,6,13.4
0,8,4,8.8
6,10,6,3.8
25,10,6,15.8
5,10,6,16.2
7,10,6,13.6
25,10,6,2
25,10,6,2
25,10,6,6.2
75,10,6,2.7
0,10,6,17.7
75,10,6,1.4
12,10,6,23.8
61,10,6,11.9
0,10,6,30.2
0,10,6,7.7
0,16,9,2.1
0,10,6,12.2
0,10,6,7.4
75,10,6,2
75,10,6,8.6
0,10,6,142.1
23,10,6,50.7
0,10,6,8.9
2,10,6,7.8
86,10,6,6.4
50,10,6,15.5
50,3.5,2,144.4
4,10,6,8.2
75,8,4,6.7
25,10,6,2.4
100,10,6,1.9
