latitude,longitude,temperature_fahrenheit,wind_mph
-20.16,57.5,71.6,5.6
19.43,-99.13,62.6,9.4
6.92,158.15,86.0,5.6
51.7,94.45,58.6,2.5
43.73,7.42,68.0,8.1
47.92,106.92,50.0,2.2
42.44,19.26,66.2,2.5
34.03,-6.84,66.2,3.8
-25.97,32.59,66.9,6.9
16.78,94.73,77.7,3.8
-22.57,17.08,59.0,4.3
39.55,27.62,73.4,2.2
27.72,85.32,71.6,2.2
52.37,4.89,57.2,3.8
-41.3,174.78,57.2,23.0
12.15,-86.27,93.2,6.9
13.52,2.12,82.4,3.8
9.18,7.18,78.8,2.2
39.02,125.75,67.8,2.9
42.0,21.43,57.2,2.2
59.92,10.75,53.6,18.6
23.61,58.59,86.0,4.3
33.7,73.17,79.3,2.7
7.36,134.51,84.2,8.1
-11.18,-67.08,90.9,3.6
8.97,-79.53,82.4,6.9
-9.46,147.19,77.0,10.5
-21.55,-58.12,88.5,6.0
-12.05,-77.05,65.7,9.2
14.6,120.98,80.6,12.5
52.25,21.0,53.6,4.3
38.72,-9.13,66.2,11.9
25.29,51.53,96.8,9.4
44.43,26.1,66.2,2.2
55.75,37.62,60.8,9.4
-1.95,30.06,71.6,3.8
17.3,-62.72,84.2,12.5
14.0,-61.0,82.4,11.9
13.13,-61.22,84.4,14.5
-13.83,-171.73,86.0,5.6
43.93,12.45,66.2,2.5
51.27,4.55,57.2,5.6
24.64,46.77,86.0,2.5
14.67,-17.44,82.4,13.6
44.8,20.47,66.2,8.1
-4.62,55.45,79.2,17.0
8.49,-13.23,77.9,7.2
1.29,103.86,82.4,4.3
48.15,17.12,57.2,2.2
46.06,14.51,57.2,2.5
-9.43,159.95,80.6,2.5
2.07,45.37,76.3,17.2
-25.75,28.19,53.6,2.2
37.57,127.0,71.6,2.2
12.15,24.45,74.3,3.8
40.4,-3.68,71.6,2.2
6.93,79.85,75.2,5.6
15.59,32.53,86.9,11.2
5.83,-55.17,75.2,4.3
59.33,18.05,53.6,2.2
46.92,7.47,59.0,6.9
33.5,36.3,73.4,4.3
38.56,68.77,66.2,2.2
-6.18,35.75,65.3,10.3
13.75,100.52,80.6,5.6
-7.56,112.27,68.2,7.4
43.81,23.24,66.9,7.8
-21.13,-175.2,77.0,13.6
10.65,-61.52,80.6,3.8
36.8,10.18,69.8,2.2
39.93,32.86,75.2,9.4
37.95,58.38,69.8,6.9
-8.52,179.22,91.4,9.4
0.32,32.57,69.8,9.4
49.83,24.0,54.5,6.3
24.47,54.37,91.4,3.8
51.52,-0.11,59.0,4.3
46.6,-120.49,64.9,9.4
-34.86,-56.17,50.0,8.1
41.32,69.25,60.8,4.3
-17.73,168.32,80.6,8.1
10.5,-66.92,80.6,2.5
21.03,105.85,78.8,4.3
15.35,44.21,62.8,2.2
-15.42,28.28,63.0,5.6
-17.82,31.04,57.4,3.1
34.52,69.18,65.3,2.2
41.33,19.82,64.4,2.2
36.76,3.05,75.2,2.2
42.5,1.52,48.2,3.4
-8.84,13.23,69.8,2.2
17.12,-61.85,84.2,6.9
-34.59,-58.67,62.6,2.2
40.18,44.51,77.0,3.8
-35.28,149.22,44.6,5.6
48.2,16.37,64.4,4.3
40.4,49.88,75.2,4.3
25.08,-77.35,86.0,8.1
26.24,50.58,93.2,5.6
23.72,90.41,83.5,4.5
13.1,-59.62,80.6,10.5
53.9,27.57,50.0,2.2
50.83,4.33,60.8,5.6
17.25,-88.77,87.8,8.1
6.48,2.62,78.8,15.0
27.48,89.6,54.3,2.2
-19.04,-65.26,64.0,11.6
43.85,18.38,55.4,2.2
-24.65,25.91,64.6,2.5
-2.08,-58.17,88.7,2.2
4.88,114.93,77.0,4.3
42.68,23.32,66.2,3.8
12.37,-1.52,80.6,4.3
-3.38,29.36,71.8,2.2
-24.37,46.45,67.6,4.3
14.93,-23.51,82.4,9.4
11.55,104.92,82.4,9.4
5.47,10.42,65.3,2.5
45.42,-75.7,69.8,4.3
4.37,18.58,75.2,2.2
12.11,15.05,76.6,7.8
-33.45,-70.67,55.4,5.6
39.93,116.39,69.8,2.2
43.32,24.7,64.9,3.1
-11.7,43.24,69.3,2.7
-4.26,15.28,78.8,9.4
9.97,-84.08,69.8,2.2
45.8,16.0,62.6,2.2
23.13,-82.36,87.8,9.4
35.17,33.37,75.2,11.9
50.08,14.47,62.6,8.1
-4.3,15.3,78.8,9.4
55.67,12.58,59.0,6.9
